order_id,order_hour,distance_km,prep_time_min,delivery_time_min,order_value,surge_multiplier,rating,cuisine,traffic_level,weather
32,15,12.45,12,78,16.71,1.0,3.9,Mexican,Low,Clear
33,14,9.64,22,42,27.51,1.0,3.9,Thai,Low,Clear
34,14,12.94,17,64,59.55,1.0,4.1,American,Medium,Clear
35,18,11.86,28,78,5.05,1.5,4.2,Indian,Low,Rain
36,11,6.72,27,42,15.85,1.2,5.0,Chinese,High,Storm
37,22,3.42,16,70,15.36,1.0,5.0,Mexican,Medium,Clear
38,19,7.96,34,73,44.44,1.0,4.5,Italian,Low,Clear
39,2,11.18,35,19,24.39,1.0,4.9,Thai,Medium,Clear
40,4,6.83,32,68,30.15,1.0,4.1,American,Medium,Rain
41,18,10.17,26,58,13.17,1.0,4.3,Mexican,Low,Storm
42,6,1.87,32,56,27.27,1.2,4.0,Indian,Low,Clear
43,20,11.35,17,86,10.68,1.0,3.6,Mexican,Medium,Rain
44,8,12.28,29,71,34.32,1.0,4.8,Chinese,Low,Clear
45,6,10.75,11,61,10.39,1.2,4.5,Chinese,High,Rain
46,17,14.53,10,39,48.48,1.0,4.2,Chinese,Low,Rain
47,3,12.49,28,58,36.16,1.0,4.2,American,Medium,Rain
48,13,13.59,23,29,44.82,1.0,3.4,Mexican,Medium,Clear
49,17,14.04,23,65,28.02,1.0,3.7,Mexican,Medium,Clear
50,8,12.12,13,67,25.98,1.5,4.4,Indian,Low,Rain
51,20,10.28,33,48,10.4,1.2,3.9,Italian,Low,Clear
52,1,0.58,28,22,33.81,1.0,4.1,Chinese,Low,Clear
53,19,7.25,9,84,33.3,1.0,4.1,Italian,Medium,Storm
54,14,8.78,30,35,30.75,1.0,3.9,Italian,Low,Clear
55,6,4.91,18,21,45.73,1.0,3.7,Chinese,Low,Clear
56,11,5.11,33,70,50.79,1.0,3.4,Chinese,Low,Clear
57,7,14.44,10,63,46.29,1.0,4.1,Indian,High,Clear
58,14,13.43,11,56,12.91,1.0,4.5,American,High,Clear
59,2,12.81,22,37,39.21,1.0,3.4,Chinese,Medium,Clear
60,13,6.39,27,66,9.42,1.2,4.2,Italian,Medium,Clear
61,16,0.7,5,67,43.2,1.5,4.3,Indian,Low,Clear
62,3,1.66,8,30,26.0,1.5,3.7,Mexican,Medium,Clear
63,17,5.03,39,51,12.29,1.0,4.9,Indian,Medium,Rain
64,7,0.73,27,32,52.41,1.2,4.0,Chinese,Medium,Clear
65,3,0.75,31,34,38.77,1.2,4.1,Thai,Low,Storm
66,1,13.79,30,60,24.51,1.5,4.1,Chinese,Medium,Clear
67,5,10.74,12,16,6.69,1.0,3.3,American,Low,Storm
68,21,4.98,20,77,34.55,1.2,4.7,Indian,Low,Clear
69,9,2.42,7,17,55.78,1.0,3.7,Chinese,Low,Clear
70,3,7.92,36,60,37.8,1.2,4.1,Italian,Low,Clear
71,21,0.58,9,63,58.44,1.0,4.5,Italian,Low,Rain
72,17,14.11,24,15,12.5,1.2,4.9,Indian,Low,Storm
73,11,6.51,18,36,36.26,1.5,3.7,American,Low,Storm
74,1,6.33,36,28,48.9,1.0,4.0,Thai,Low,Clear
75,9,6.16,30,59,33.9,1.0,4.9,Indian,Low,Clear
76,3,1.51,10,20,10.01,1.0,4.4,American,Low,Clear
77,13,9.76,9,79,37.06,1.0,4.5,Italian,Low,Clear
78,15,11.13,17,35,38.65,1.0,3.7,Chinese,Medium,Clear
79,14,10.3,36,18,45.08,1.0,4.0,Mexican,High,Clear
80,7,2.51,20,17,46.87,1.5,4.1,Chinese,High,Clear
81,13,8.89,5,44,47.39,1.0,3.8,Italian,Medium,Rain
82,22,8.76,17,45,41.49,1.2,3.4,Thai,Medium,Clear
83,7,13.09,15,48,16.87,1.5,3.9,Italian,Low,Clear
84,20,6.0,12,34,27.23,1.5,4.9,Chinese,High,Clear
85,15,5.89,29,68,47.69,1.2,4.2,Chinese,Medium,Rain
86,12,9.47,36,39,57.44,1.0,4.9,Thai,High,Storm
87,17,9.68,28,29,9.34,1.5,4.3,Thai,Low,Clear
88,14,7.3,32,52,34.45,1.0,3.8,Italian,Medium,Clear
89,20,6.92,18,37,22.19,1.5,4.8,Chinese,Low,Clear
90,23,7.67,7,66,17.4,1.2,4.3,Mexican,High,Clear
91,12,12.99,31,80,32.82,1.2,4.7,Mexican,Low,Clear
92,8,7.19,24,71,38.33,1.0,3.7,Indian,Medium,Clear
93,14,14.13,19,71,5.54,1.0,4.7,Mexican,Low,Clear
94,12,7.81,31,66,47.91,1.5,4.7,Italian,High,Rain
95,0,14.26,32,49,50.09,1.5,4.3,Italian,Low,Clear
96,6,12.58,29,88,58.1,1.0,3.8,Indian,High,Clear
97,8,5.76,37,28,14.94,1.5,4.2,American,Medium,Clear
98,23,13.02,18,28,37.7,1.0,4.5,Indian,Medium,Rain
99,0,2.1,12,47,28.46,1.2,4.3,American,Low,Clear
100,11,13.91,18,66,23.42,1.2,4.5,American,High,Clear
101,7,9.66,5,15,36.11,1.0,4.7,Chinese,Medium,Rain
102,23,1.29,20,48,48.03,1.0,3.9,Thai,Low,Clear
103,10,9.84,22,33,6.27,1.2,3.6,Mexican,Medium,Clear
104,18,14.63,11,38,58.32,1.0,4.2,American,Low,Clear
105,16,1.51,19,18,49.54,1.0,4.0,Chinese,Low,Rain
106,7,8.54,28,50,46.31,1.2,4.6,Indian,Medium,Clear
107,2,11.34,17,72,46.82,1.5,3.7,Indian,Medium,Clear
108,2,12.25,13,46,26.4,1.0,4.7,American,Medium,Clear
109,0,6.5,19,23,46.34,1.0,4.9,Chinese,Medium,Clear
110,4,3.46,39,81,26.27,1.0,4.2,Italian,Medium,Clear
111,9,1.11,28,34,54.43,1.2,4.2,Thai,High,Clear
112,6,8.91,37,88,14.75,1.0,3.8,Thai,Low,Clear
113,8,7.07,20,76,21.08,1.2,3.9,Mexican,Medium,Clear
114,6,14.26,12,72,35.32,1.5,4.0,American,High,Clear
115,8,1.38,33,36,22.56,1.0,4.9,Italian,Medium,Clear
116,7,10.44,27,81,28.33,1.0,4.2,Mexican,Medium,Clear
117,11,0.86,35,89,32.08,1.5,3.5,Italian,Medium,Rain
118,1,2.99,18,62,52.1,1.0,4.3,Thai,High,Rain
119,0,7.08,34,22,33.78,1.2,4.6,Chinese,Medium,Clear
120,15,7.1,31,87,24.94,1.5,4.2,American,Low,Clear
121,22,10.44,20,29,18.63,1.5,4.9,Italian,Medium,Clear
122,22,13.7,10,46,27.48,1.0,4.6,Italian,Low,Rain
123,23,9.77,37,67,33.37,1.0,3.7,Italian,Low,Rain
124,4,14.33,22,81,46.04,2.0,3.9,Thai,Medium,Clear
125,2,13.28,20,18,11.66,1.2,4.3,American,Low,Rain
126,11,8.98,16,44,17.19,1.0,3.4,Chinese,Medium,Storm
127,7,12.59,24,27,25.88,1.0,4.4,Chinese,Medium,Storm
128,21,9.82,33,35,24.82,1.0,3.3,Italian,High,Storm
129,2,1.64,34,55,26.55,1.5,4.7,Chinese,Low,Rain
130,0,11.24,30,33,48.64,1.0,4.7,Mexican,Low,Clear
131,2,1.88,26,62,22.83,1.5,4.5,Chinese,Medium,Clear
132,4,9.11,37,77,32.6,1.5,3.9,Italian,Low,Rain
133,14,10.69,33,34,39.31,1.5,4.3,Mexican,Low,Clear
134,13,1.46,26,78,17.77,1.2,3.9,American,High,Clear
135,2,3.85,17,51,44.53,1.5,3.7,Indian,Low,Clear
136,0,13.78,13,45,35.09,1.0,4.0,Thai,Medium,Rain
137,4,9.44,28,88,29.57,1.0,4.5,Chinese,Low,Clear
138,22,4.07,19,32,49.54,1.5,4.2,Mexican,Low,Clear
139,13,10.51,17,34,18.39,1.0,4.9,Indian,Low,Clear
140,6,9.15,31,25,53.57,1.0,4.6,American,Medium,Storm
141,8,7.77,11,58,35.86,1.0,4.5,Indian,High,Clear
142,14,14.65,12,78,38.5,1.0,3.4,American,Medium,Clear
143,14,10.41,18,48,53.13,1.2,4.1,Italian,Medium,Clear
144,9,5.94,16,79,49.97,1.2,3.7,Italian,Medium,Clear
145,12,12.1,21,69,38.09,1.0,4.1,Thai,Low,Clear
146,18,13.33,33,88,46.43,1.5,3.9,Thai,Medium,Rain
147,6,2.32,31,15,28.83,1.0,4.0,American,Medium,Storm
148,16,3.41,5,52,35.11,1.2,4.7,Indian,Medium,Clear
149,19,3.64,38,23,8.41,1.0,4.4,Thai,Low,Clear
150,3,10.52,8,85,9.94,1.2,4.7,Chinese,High,Rain
151,4,9.24,28,31,50.62,1.0,3.4,Indian,Medium,Clear
152,22,9.48,25,66,8.28,1.0,4.2,Thai,Low,Clear
153,6,14.14,37,32,14.32,1.5,4.7,Indian,Medium,Rain
154,12,11.75,11,77,48.77,1.0,5.0,Chinese,Low,Rain
155,14,2.36,5,47,5.06,2.0,3.4,Indian,Low,Rain
156,10,5.54,7,18,20.53,1.2,4.0,Indian,Medium,Clear
157,3,6.81,19,89,37.12,1.0,4.7,Mexican,Low,Rain
158,12,6.24,35,66,37.75,1.2,4.1,American,Low,Clear
159,6,10.2,20,23,47.74,1.0,3.7,Italian,Low,Clear
160,18,13.43,14,78,32.83,1.0,3.4,Thai,Low,Rain
161,21,4.94,33,44,33.02,2.0,3.7,Thai,Low,Clear
162,1,8.5,10,22,44.89,1.0,3.4,Thai,Low,Clear
163,9,11.95,33,19,32.42,1.2,4.2,American,Low,Rain
164,12,6.54,21,77,38.47,1.0,4.6,Indian,High,Rain
165,20,2.94,26,15,54.38,1.2,3.6,Chinese,High,Clear
166,5,7.39,28,29,27.08,1.0,4.3,Chinese,High,Clear
167,11,1.3,21,52,26.18,1.0,4.6,Italian,Low,Rain
168,11,14.16,25,56,5.2,2.0,4.2,Italian,Medium,Rain
169,19,1.58,15,60,38.74,1.0,3.4,Italian,Medium,Rain
170,10,6.86,11,67,6.64,1.2,4.4,Chinese,Low,Clear
171,22,8.18,9,40,32.73,1.0,4.2,Indian,High,Clear
172,6,14.79,25,75,49.23,1.0,4.1,Italian,High,Clear
173,0,2.91,22,81,35.25,1.2,3.9,Italian,Medium,Clear
174,0,2.16,39,68,19.83,1.0,4.2,Chinese,Low,Clear
175,19,0.63,24,36,48.24,1.0,4.5,Thai,Medium,Clear
176,12,2.76,19,40,19.83,1.5,5.0,Indian,Low,Clear
177,8,3.51,9,74,45.32,1.5,4.3,Italian,Low,Clear
178,2,9.64,17,53,38.56,1.0,5.0,Indian,Medium,Clear
179,6,3.69,16,50,14.35,1.0,4.4,Mexican,Low,Clear
180,5,0.8,25,35,54.78,1.2,4.2,Thai,Low,Clear
181,7,12.49,10,55,16.04,2.0,4.3,Thai,Low,Clear
182,8,5.8,11,62,59.43,2.0,3.6,Italian,Medium,Clear
183,4,5.63,30,40,5.4,1.5,4.4,Italian,High,Clear
184,0,4.89,12,77,19.49,1.0,3.2,Chinese,Medium,Clear
185,18,14.64,13,50,15.99,1.5,3.8,Thai,Low,Rain
186,9,2.97,31,38,5.77,1.5,4.3,Mexican,Medium,Rain
187,11,13.52,8,35,45.28,1.0,4.8,Mexican,Medium,Clear
188,23,11.76,25,32,43.14,1.0,4.9,Mexican,High,Rain
189,14,1.61,35,29,48.58,1.0,4.1,American,Medium,Clear
190,21,14.81,25,20,19.12,1.2,4.3,Chinese,Low,Clear
191,23,4.43,29,57,29.44,1.0,4.7,Chinese,Low,Storm
192,8,1.93,19,45,41.25,1.0,3.5,Italian,High,Clear
193,19,12.53,39,42,29.19,1.0,4.4,Chinese,Low,Clear
194,16,10.75,32,22,43.35,1.0,3.8,Italian,Medium,Rain
195,16,9.45,18,43,39.87,1.0,4.1,Italian,Low,Storm
196,19,2.76,8,35,11.31,1.2,4.0,American,Medium,Storm
197,11,7.44,24,72,47.96,1.0,4.4,Chinese,Low,Storm
198,6,11.82,38,74,44.64,1.5,4.5,Chinese,Low,Clear
199,1,4.9,16,64,41.07,1.5,4.6,American,Medium,Clear
200,2,5.02,37,45,13.53,1.5,4.4,American,Medium,Clear
201,16,0.55,28,61,19.74,1.2,4.3,Chinese,Low,Clear
202,4,3.03,24,48,26.62,1.0,5.0,Chinese,Medium,Clear
203,16,13.19,9,16,20.4,1.0,3.4,Italian,Low,Rain
204,23,6.91,34,81,17.53,1.0,5.0,Indian,Medium,Clear
205,16,14.77,28,86,49.29,2.0,4.1,Thai,Medium,Clear
206,16,6.24,11,66,40.1,1.0,4.5,Italian,Medium,Clear
207,1,10.87,20,21,36.1,1.0,4.0,Mexican,Medium,Clear
208,1,4.59,19,33,17.43,1.2,3.8,Mexican,High,Rain
209,21,5.78,27,29,55.49,1.5,4.4,Indian,Low,Clear
210,22,3.27,16,62,15.52,1.2,4.7,Thai,Low,Clear
211,4,5.53,33,28,48.72,1.2,4.4,American,Medium,Clear
212,0,8.43,19,17,58.17,1.0,3.9,Mexican,Medium,Clear
213,0,14.88,33,64,44.99,1.2,5.0,American,Medium,Clear
214,18,10.13,25,68,59.61,1.0,4.8,American,Medium,Clear
215,1,3.39,19,20,40.81,1.5,4.7,Italian,Medium,Clear
216,20,1.15,18,63,16.96,1.0,4.0,American,High,Clear
217,11,2.33,20,37,16.21,1.0,3.9,Indian,Medium,Storm
218,5,8.66,19,34,22.85,1.5,4.1,Italian,Low,Clear
219,22,11.59,8,74,5.39,1.0,4.7,Indian,High,Clear
220,3,14.14,31,59,42.49,1.5,3.7,American,High,Clear
221,22,0.73,27,75,19.78,1.5,3.7,Mexican,Low,Clear
222,10,8.08,33,70,49.84,1.5,4.5,Thai,Low,Clear
223,23,7.33,13,16,24.75,1.0,4.4,American,Medium,Storm
224,16,10.01,11,59,31.4,1.0,3.8,Indian,Low,Clear
225,5,8.61,8,54,58.11,1.5,3.7,Chinese,Medium,Clear
226,23,10.46,9,38,18.32,1.5,4.9,Chinese,High,Clear
227,4,10.04,9,43,44.67,1.0,4.4,Mexican,Low,Rain
228,19,2.2,15,81,46.53,1.0,3.5,Thai,Low,Clear
229,1,12.1,32,82,17.15,1.0,3.6,Indian,Medium,Clear
230,5,2.29,20,80,32.55,2.0,4.0,Mexican,Low,Clear
231,21,10.63,34,68,24.26,1.0,4.6,Italian,High,Storm
232,10,6.53,8,67,47.45,1.0,4.5,American,Low,Clear
233,15,7.95,6,63,39.24,1.2,4.8,Italian,Medium,Clear
234,15,13.6,7,46,31.18,1.0,3.5,Chinese,Low,Clear
235,0,13.4,25,75,47.86,1.5,4.3,American,Medium,Storm
236,8,12.36,10,56,17.93,1.0,4.9,Italian,Medium,Clear
237,5,7.9,22,15,46.45,1.0,4.9,Chinese,High,Clear
238,15,11.18,9,77,52.6,1.0,4.4,Thai,Medium,Clear
239,2,7.94,13,49,53.32,1.0,5.0,Italian,High,Storm
240,19,13.11,24,65,48.1,1.0,4.5,American,Medium,Clear
241,3,6.34,32,85,27.44,1.0,4.7,Italian,High,Clear
242,18,14.57,30,59,59.0,1.0,4.2,American,Low,Clear
243,2,14.02,22,79,25.88,1.5,3.8,Italian,Medium,Storm
244,18,11.25,23,28,40.12,1.0,3.8,Mexican,Low,Rain
245,19,4.55,7,17,13.86,2.0,4.3,Thai,Low,Clear
246,6,2.41,13,38,58.92,1.2,4.1,Italian,Medium,Clear
247,19,12.89,35,79,43.72,1.0,3.3,Italian,Medium,Clear
248,8,2.9,21,62,46.44,1.0,3.7,Mexican,Medium,Rain
249,0,12.89,27,24,8.62,1.0,4.0,Chinese,Low,Clear
250,7,7.62,38,27,46.99,1.0,4.6,American,Low,Clear
251,6,6.4,9,87,47.61,1.0,4.2,Indian,Low,Clear
252,17,13.6,19,28,41.95,1.0,4.2,Chinese,High,Clear
253,7,9.26,7,24,21.06,1.2,3.7,American,Low,Clear
254,0,8.86,23,54,31.93,1.0,4.2,Italian,Low,Clear
255,10,8.6,32,37,11.07,1.0,4.9,Chinese,Medium,Clear
256,17,5.88,7,69,30.94,1.0,4.3,Italian,Low,Rain
257,22,11.89,8,77,18.41,1.2,3.4,Chinese,Low,Rain
258,9,4.17,28,85,24.2,1.0,3.6,Chinese,Medium,Clear
259,2,14.11,35,56,13.94,1.5,4.5,Indian,Medium,Clear
260,6,13.46,15,80,17.65,1.0,4.1,Mexican,High,Rain
261,15,5.39,5,87,9.21,2.0,4.2,Chinese,High,Clear
262,15,11.08,13,61,55.59,1.0,3.9,Italian,High,Clear
263,19,8.81,21,66,34.17,2.0,4.5,Indian,Low,Clear
264,16,5.4,5,32,26.82,1.2,4.0,Chinese,Low,Clear
265,1,14.83,7,32,34.43,1.0,4.1,Mexican,Low,Clear
266,0,0.87,30,38,39.56,1.0,3.8,Italian,Medium,Clear
267,15,4.16,35,37,55.7,1.0,4.7,Indian,Medium,Clear
268,11,8.04,30,26,14.83,1.5,4.1,American,Medium,Clear
269,4,8.07,27,37,21.26,1.2,4.5,Thai,Low,Clear
270,4,9.04,34,35,58.67,1.0,3.6,Mexican,Low,Clear
271,22,11.4,14,78,25.42,1.0,5.0,American,Medium,Rain
272,8,9.54,12,86,6.24,1.0,4.8,American,Low,Rain
273,8,9.2,29,48,13.12,1.2,3.2,Indian,Medium,Clear
274,2,1.28,26,16,6.45,1.2,3.8,Indian,High,Clear
275,18,5.96,19,83,59.45,1.0,4.4,Indian,Low,Rain
276,15,3.86,14,45,20.34,1.0,3.5,American,Medium,Rain
277,15,4.35,24,82,55.79,1.0,4.1,Thai,Medium,Storm
278,2,8.54,27,84,59.77,1.0,4.4,Italian,Low,Clear
279,19,3.39,5,33,37.99,1.0,4.1,Indian,Low,Clear
280,23,4.76,6,86,6.83,1.0,4.5,Mexican,Low,Storm
281,21,3.94,23,27,9.49,1.0,3.9,Indian,Medium,Clear
282,23,14.25,18,79,31.49,1.5,3.1,Thai,Low,Clear
283,0,14.2,12,20,27.34,1.2,4.7,Indian,High,Clear
284,23,9.34,16,85,38.34,2.0,4.7,Thai,High,Clear
285,19,13.91,30,41,29.14,1.0,5.0,Indian,Low,Clear
286,10,11.89,31,66,56.37,1.5,3.1,American,Low,Clear
287,16,9.05,33,62,34.41,1.2,4.6,Thai,Medium,Storm
288,7,0.59,19,82,43.15,1.0,3.2,Italian,High,Clear
289,3,11.7,5,58,54.31,1.0,5.0,Indian,Low,Clear
290,5,10.69,32,31,13.08,1.2,4.4,American,Medium,Clear
291,7,9.42,7,52,17.64,1.5,3.7,Mexican,High,Clear
292,19,11.53,22,24,10.9,1.0,4.6,Italian,Low,Rain
293,2,7.94,38,68,12.68,1.0,3.9,American,Low,Clear
294,15,10.71,36,20,33.19,1.2,4.4,Thai,High,Clear
295,2,14.06,33,20,22.66,2.0,4.3,Chinese,Low,Clear
296,17,5.95,29,66,28.27,1.2,5.0,Mexican,Low,Clear
297,13,10.77,30,29,59.04,1.0,5.0,Mexican,Medium,Clear
298,17,7.4,12,82,13.62,1.0,3.9,Chinese,Low,Clear
299,1,10.28,23,71,34.74,1.0,4.7,American,High,Clear
300,21,11.56,26,70,10.44,1.5,4.4,American,Low,Rain
301,2,1.16,33,21,22.52,1.2,3.5,Thai,High,Clear
302,15,9.88,37,65,34.01,1.0,3.9,Mexican,Low,Clear
303,8,3.79,39,72,57.06,1.0,5.0,American,Low,Clear
304,3,10.22,7,78,26.52,1.5,4.4,Chinese,Medium,Clear
305,0,7.29,23,40,8.57,1.2,4.7,American,High,Clear
306,3,11.72,14,72,26.35,2.0,4.1,Mexican,Low,Rain
307,0,2.29,31,45,13.02,1.0,3.9,American,Medium,Clear
308,13,9.58,19,80,17.65,1.5,4.2,Italian,Low,Clear
309,20,4.54,15,27,38.99,1.5,4.1,Chinese,High,Clear
310,15,12.87,30,32,8.71,1.0,3.5,Chinese,High,Clear
311,19,13.96,28,89,30.56,2.0,3.7,Indian,Medium,Clear
312,23,14.95,17,27,38.52,1.0,4.6,American,Medium,Clear
313,7,12.04,36,38,28.2,1.2,4.0,Thai,Low,Clear
314,6,11.43,8,71,6.05,2.0,4.2,Chinese,Low,Rain
315,2,3.62,17,43,59.2,1.0,4.3,American,Low,Clear
316,16,5.37,13,70,25.19,1.2,4.4,Italian,Low,Clear
317,0,7.25,38,68,47.82,1.0,4.8,Mexican,Medium,Clear
318,15,11.71,11,19,22.91,1.2,3.7,Mexican,Medium,Rain
319,11,13.77,5,49,31.13,1.5,4.5,Indian,Low,Clear
320,18,3.24,16,33,26.37,1.2,4.6,Indian,High,Clear
321,21,13.87,25,69,23.84,1.5,4.7,Thai,High,Clear
322,22,10.59,15,83,6.2,1.0,3.5,Chinese,Medium,Clear
323,21,9.36,18,58,24.8,1.0,4.3,Thai,Medium,Rain
324,13,3.4,38,52,53.92,1.0,5.0,Chinese,Low,Rain
325,5,1.31,38,76,42.97,1.2,4.2,Chinese,Low,Storm
326,5,8.74,29,36,13.0,1.0,4.4,Italian,Low,Clear
327,12,9.95,8,87,37.51,1.2,4.6,Indian,High,Clear
328,18,3.56,30,54,54.07,1.0,3.7,Indian,Medium,Clear
329,21,8.57,20,40,43.5,1.2,5.0,Mexican,Medium,Clear
330,7,12.92,14,19,13.18,1.0,4.4,Indian,Low,Rain
331,1,12.61,6,68,52.73,1.2,4.5,Indian,Medium,Storm
332,20,13.95,39,63,21.58,1.2,3.4,Italian,Low,Clear
333,0,5.81,23,17,29.97,1.5,4.6,Thai,High,Clear
334,14,5.11,10,52,33.94,1.2,4.5,Chinese,Low,Clear
335,0,11.37,23,28,51.78,1.2,5.0,Thai,Medium,Rain
336,4,6.75,12,61,56.24,1.5,4.0,Italian,Low,Clear
337,15,1.77,18,28,56.13,1.2,3.7,American,Medium,Storm
338,18,4.6,14,89,5.44,1.0,3.9,Mexican,Medium,Clear
339,3,6.57,7,87,55.7,1.5,3.9,Mexican,Medium,Rain
340,2,4.74,33,52,7.99,1.2,3.6,Mexican,Low,Clear
341,16,5.32,19,78,19.62,1.0,4.8,Thai,Medium,Storm
342,16,4.76,27,58,33.32,1.2,4.9,Chinese,Medium,Clear
343,11,1.1,27,84,31.4,1.5,4.1,Chinese,High,Clear
344,13,9.74,22,79,38.26,2.0,4.0,Chinese,Low,Clear
345,20,9.16,23,39,31.37,2.0,3.3,Mexican,High,Clear
346,5,9.97,32,30,56.39,1.0,4.5,Mexican,Medium,Clear
347,2,3.29,30,29,18.23,1.0,5.0,Thai,Low,Clear
348,8,4.79,14,17,20.07,1.0,3.9,Thai,Medium,Storm
349,4,9.48,8,81,55.64,1.0,4.1,Mexican,Medium,Rain
350,23,9.19,6,51,9.22,1.5,4.4,American,Low,Rain
351,16,7.84,7,69,38.53,1.0,5.0,American,Medium,Rain
352,13,5.58,11,52,42.5,1.2,4.3,Thai,Medium,Clear
353,20,13.74,20,77,32.8,1.2,4.3,Mexican,Medium,Clear
354,2,5.43,35,15,43.18,1.2,4.3,Chinese,Medium,Clear
355,0,7.11,14,85,14.5,1.0,3.5,Chinese,Medium,Storm
356,19,10.33,23,33,51.89,1.0,3.5,American,Low,Clear
357,20,8.37,32,66,12.7,1.0,3.8,American,Low,Clear
358,22,5.53,21,44,27.04,1.0,4.7,Mexican,Medium,Clear
359,0,6.82,32,69,9.14,2.0,4.0,Mexican,Low,Clear
360,2,12.02,23,28,34.99,1.5,3.9,Chinese,Low,Storm
361,17,4.53,27,27,41.84,1.0,3.9,Thai,Low,Clear
362,9,2.56,24,41,56.77,1.5,4.1,Indian,Low,Rain
363,21,5.04,17,23,45.66,1.0,5.0,Thai,Medium,Clear
364,2,12.82,17,55,34.76,1.2,4.1,Chinese,Medium,Storm
365,7,1.79,15,62,56.29,1.0,3.8,Thai,Medium,Storm
366,13,14.88,19,26,31.31,1.2,4.2,Chinese,Low,Clear
367,23,8.34,21,24,35.87,1.0,5.0,Mexican,Low,Clear
368,17,14.78,32,20,37.79,1.0,3.9,Indian,Medium,Rain
369,14,14.12,23,48,27.55,1.0,3.6,Indian,High,Clear
370,21,7.07,8,66,51.12,1.0,3.9,Mexican,High,Clear
371,22,3.38,26,55,15.18,1.2,4.3,Italian,Medium,Clear
372,1,2.89,26,20,35.52,1.0,4.5,Mexican,Medium,Clear
373,9,3.98,38,16,44.72,1.2,4.7,American,Medium,Clear
374,1,10.8,37,29,54.72,1.2,3.7,Thai,Medium,Rain
375,16,4.46,37,31,53.62,1.2,3.7,Indian,Medium,Rain
376,7,5.45,16,30,32.98,1.2,4.0,Mexican,Low,Rain
377,0,7.01,6,42,40.37,1.0,4.5,Chinese,Low,Storm
378,8,13.74,32,86,26.68,1.0,3.6,Chinese,Medium,Clear
379,10,3.25,14,24,30.75,1.5,3.9,Thai,High,Clear
380,21,0.57,26,24,54.84,1.2,3.9,Chinese,Low,Clear
381,15,1.37,21,24,56.19,1.2,4.7,Mexican,Medium,Storm
382,6,13.62,30,87,54.25,1.2,4.5,Italian,Medium,Clear
383,9,9.89,7,42,12.61,1.0,4.7,American,Low,Clear
384,22,4.46,11,38,51.75,1.2,4.9,Chinese,Medium,Clear
385,2,3.07,12,33,57.16,1.5,4.0,Mexican,High,Storm
386,17,4.77,24,82,24.87,1.0,3.6,Italian,Low,Storm
387,23,2.16,16,70,33.53,1.5,3.6,Indian,Medium,Rain
388,12,14.15,39,81,47.85,1.0,3.3,Indian,Low,Clear
389,6,11.87,21,56,35.91,1.0,4.0,Thai,High,Clear
390,3,7.2,32,26,59.64,1.5,4.0,American,Medium,Clear
391,12,13.04,14,32,30.06,1.5,4.6,Mexican,Medium,Clear
392,19,4.12,26,37,44.27,1.5,4.2,Mexican,High,Clear
393,0,10.9,37,20,48.59,1.5,4.0,Chinese,Low,Clear
